"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","Georeference"
"09/02/2025 10:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Seniors & Disability","8","2","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 10:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","44","0","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 10:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","35","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 10:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Students","2","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 10:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Other","103","3","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 11:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","39","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 11:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Seniors & Disability","24","4","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 11:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Full Fare","98","7","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 11:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Other","106","2","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 11:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","53","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 11:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Other","61","1","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 12:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Other","107","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 12:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Other","63","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 12:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Seniors & Disability","16","2","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 11:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Seniors & Disability","78","9","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 12:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Full Fare","67","2","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 10:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Fair Fare","13","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 10:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Full Fare","885","44","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 12:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Fair Fare","59","6","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 12:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Full Fare","1,172","42","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 12:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","23","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 11:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Fair Fare","69","8","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 11:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Fair Fare","20","0","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 11:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Full Fare","1,165","27","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 11:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Students","3","1","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 12:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Seniors & Disability","76","8","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 12:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","56","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 12:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Students","4","0","40.692337","-73.98734","POINT (-73.98734 40.692337)"
